,0,1,2,3,4,5,6,7,8,9,ID
0,10.0,13.0,23.0,14.0,14.0,11.0,154.0,434.0,319.0,327.0,totalCashWCN
1,15.0,18.0,47.0,18.0,16.0,14.0,13.0,31.0,20.0,16.0,shortTermDebtWCN
2,910.0,1173.0,2205.0,2068.0,1976.0,2147.0,3617.0,3900.0,4153.0,4354.0,longTermDebtWCN
0,4.0,6.0,6.0,12.0,8.0,8.0,15.0,18.0,13.0,20.0,totalCashTC
1,1.0,1.0,4.0,6.0,,4.0,2.0,18.0,18.0,,shortTermDebtTC
2,,,,,,,8.0,59.0,46.0,114.0,longTermDebtTC
0,4051.0,3398.0,2817.0,4255.0,3950.0,6015.0,8938.0,13438.0,11709.0,12074.0,totalCashV
1,12.0,,,,,,,1749.0,,,shortTermDebtV
2,32.0,,,,,,15882.0,16618.0,16630.0,16729.0,longTermDebtV
0,20.0,22.0,16.0,21.0,28.0,25.0,18.0,5.0,16.0,23.0,totalCashLGT.B
1,7.0,2.0,4.0,4.0,1.0,2.0,2.0,15.0,17.0,9.0,shortTermDebtLGT.B
2,30.0,12.0,20.0,4.0,28.0,30.0,59.0,78.0,160.0,169.0,longTermDebtLGT.B
0,2491.0,3130.0,3728.0,4672.0,4623.0,5037.0,6798.0,7108.0,7422.0,10897.0,totalCashNVDA
1,,,,,,1500.0,827.0,15.0,,,shortTermDebtNVDA
2,,,,1356.0,1384.0,,1983.0,1985.0,1988.0,1991.0,longTermDebtNVDA
0,8762.0,9576.0,11448.0,12447.0,17416.0,19808.0,25981.0,30986.0,41250.0,55021.0,totalCashAMZN
1,0,,,,,,,,,,shortTermDebtAMZN
2,184.0,255.0,3084.0,3191.0,8265.0,8235.0,7694.0,24743.0,23495.0,23414.0,longTermDebtAMZN
0,,,,84.0,60.0,190.0,392.0,938.0,1970.0,2455.0,totalCashSHOP
1,0,,,,,,,,,,shortTermDebtSHOP
2,0,,,,,,,,,,longTermDebtSHOP
0,4749.0,5613.0,4854.0,6124.0,7315.0,6419.0,4729.0,5779.0,7259.0,9444.0,totalCashCOST
1,26.0,900.0,1.0,,,1283.0,1100.0,86.0,,1699.0,shortTermDebtCOST
2,2141.0,1253.0,1381.0,4998.0,5093.0,4864.0,4061.0,6573.0,6487.0,5124.0,longTermDebtCOST
0,490.0,101.0,155.0,214.0,52.0,153.0,176.0,70.0,266.0,64.0,totalCashCNR
1,558.0,135.0,577.0,1021.0,544.0,1442.0,1489.0,2080.0,1184.0,1930.0,shortTermDebtCNR
2,5531.0,6441.0,6323.0,6819.0,7865.0,8985.0,9448.0,8748.0,11385.0,11866.0,longTermDebtCNR
0,4198.0,4949.0,5039.0,6295.0,6305.0,6738.0,8335.0,7782.0,8378.0,7676.0,totalCashMA
1,,,,,,,,,500.0,,shortTermDebtMA
2,,,,,1494.0,3287.0,5180.0,5424.0,5834.0,8527.0,longTermDebtMA
0,23.0,50.0,64.0,47.0,61.0,40.0,21.0,27.0,46.0,33.0,totalCashIPL
1,387.0,1555.0,1351.0,1597.0,1428.0,1411.0,1738.0,1493.0,1262.0,2369.0,shortTermDebtIPL
2,2409.0,1102.0,1761.0,2346.0,3144.0,3422.0,4068.0,3943.0,4397.0,4268.0,longTermDebtIPL
0,56.0,59.0,55.0,42.0,79.0,71.0,178.0,358.0,489.0,589.0,totalCashCSU
1,43.0,47.0,,44.0,477.0,66.0,9.0,7.0,96.0,51.0,shortTermDebtCSU
2,,,,,,228.0,346.0,339.0,236.0,317.0,longTermDebtCSU
0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,12.0,totalCashXPEL
1,,,,0.0,1.0,4.0,4.0,3.0,1.0,0.0,shortTermDebtXPEL
2,,,,,,2.0,1.0,1.0,1.0,0.0,longTermDebtXPEL
0,,,0.0,0.0,,6.0,2.0,6.0,,2.0,totalCashCJT
1,2.0,1.0,1.0,0.0,1.0,4.0,36.0,,1.0,,shortTermDebtCJT
2,36.0,34.0,28.0,28.0,93.0,205.0,181.0,239.0,404.0,438.0,longTermDebtCJT
0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,5.0,totalCashPNG
1,,,,,,,,0.0,0.0,,shortTermDebtPNG
2,,,,,,,,,,0.0,longTermDebtPNG
0,173.0,141.0,189.0,209.0,193.0,405.0,582.0,550.0,581.0,695.0,totalCashCCL.B
1,88.0,,84.0,47.0,57.0,164.0,4.0,228.0,70.0,39.0,shortTermDebtCCL.B
2,348.0,334.0,243.0,665.0,596.0,833.0,1594.0,2097.0,2419.0,2235.0,longTermDebtCCL.B
0,,,,,1.0,0.0,0.0,1.0,2.0,3.0,totalCashRIW
1,0,,,,,,,,,,shortTermDebtRIW
2,0,,,,,,,,,,longTermDebtRIW
0,2722.0,3185.0,3387.0,3931.0,3421.0,4269.0,4610.0,4017.0,4150.0,5418.0,totalCashDIS
1,2350.0,3055.0,3614.0,1512.0,2164.0,4563.0,3687.0,6172.0,3790.0,8857.0,shortTermDebtDIS
2,10130.0,10922.0,10697.0,12776.0,12676.0,12773.0,16483.0,19119.0,17084.0,38129.0,longTermDebtDIS
0,25620.0,25952.0,29129.0,40546.0,25077.0,41601.0,67155.0,74181.0,66301.0,100557.0,totalCashAAPL
1,,,,,6308.0,10999.0,11605.0,18473.0,20748.0,16240.0,shortTermDebtAAPL
2,,,,16960.0,28987.0,53463.0,75427.0,97207.0,93735.0,91807.0,longTermDebtAAPL
0,39.0,28.0,28.0,3.0,0.0,1.0,1.0,17.0,2.0,0.0,totalCashRSI
1,70.0,70.0,60.0,25.0,36.0,37.0,50.0,20.0,17.0,25.0,shortTermDebtRSI
2,131.0,125.0,105.0,156.0,157.0,148.0,119.0,262.0,302.0,304.0,longTermDebtRSI
